path,label,file_size,entropy,entry_point,bias,is_stripped,section_count,program_header_count,text_size,data_size,rodata_size,bss_size,dynsym_count,symtab_count,instruction_estimate,instruction_estimate_low,instruction_estimate_high,reserved_0,reserved_1,reserved_2,has_writable_executable,has_exec_stack,is_pie,has_imported_libraries,suspicious_string_count,reserved_3,reserved_4
/home/zacharywinn/projects/winncore-ml-detector/data/benign/bsd-mailx,0.0,133480.0,5.148304284957543,18432.0,1.0,1.0,29.0,12.0,64776.0,208.0,7097.0,23904.0,137.0,0.0,16194.0,1619.4,4858.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/snapshot,0.0,4792872.0,6.5539667976962095,357632.0,1.0,1.0,32.0,11.0,3370652.0,6320.0,287712.0,4488.0,797.0,0.0,842663.0,84266.3,252798.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/rakudo-m,0.0,67904.0,1.0166535461296078,6080.0,1.0,1.0,30.0,12.0,2512.0,16.0,570.0,8.0,36.0,0.0,628.0,62.800000000000004,188.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/gnubasename,0.0,68184.0,2.528254751445728,6720.0,1.0,1.0,31.0,13.0,12004.0,216.0,2623.0,288.0,54.0,0.0,3001.0,300.1,900.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/pbmminkowski,0.0,67824.0,0.6688925198995033,3968.0,1.0,1.0,29.0,12.0,1512.0,16.0,122.0,8.0,20.0,0.0,378.0,37.800000000000004,113.39999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/systemd-dissect,0.0,133824.0,3.6918010023375496,32128.0,1.0,1.0,31.0,12.0,35440.0,73.0,13240.0,96.0,210.0,0.0,8860.0,886.0,2658.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/i686-w64-mingw32-addr2line,0.0,1185416.0,6.132140873594806,156224.0,1.0,1.0,30.0,10.0,686948.0,3416.0,136976.0,704.0,135.0,0.0,171737.0,17173.7,51521.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/apt-config,0.0,67920.0,2.358571974067304,13184.0,1.0,1.0,30.0,12.0,9760.0,32.0,750.0,8.0,59.0,0.0,2440.0,244.0,732.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/dbus-update-activation-environment,0.0,67824.0,1.1121848188745085,6144.0,1.0,1.0,29.0,12.0,2304.0,8.0,1465.0,8.0,39.0,0.0,576.0,57.6,172.79999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/foo2zjs,0.0,68360.0,3.722311010621092,8576.0,1.0,1.0,27.0,9.0,17580.0,694.0,7856.0,32152.0,57.0,0.0,4395.0,439.5,1318.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/remmina,0.0,992504.0,5.890587537016212,164224.0,1.0,1.0,30.0,12.0,297264.0,7192.0,73658.0,2288.0,1728.0,0.0,74316.0,7431.6,22294.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/aarch64-linux-gnu-gcc-ranlib-15,0.0,68128.0,2.0841987873446977,4201088.0,1.0,1.0,28.0,10.0,9008.0,16.0,1706.0,96.0,64.0,0.0,2252.0,225.20000000000002,675.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/sbsign,0.0,68064.0,2.6945142980575882,15680.0,1.0,1.0,28.0,9.0,10956.0,336.0,2924.0,8.0,95.0,0.0,2739.0,273.90000000000003,821.6999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/gnuunexpand,0.0,68208.0,2.9348713654921657,10880.0,1.0,1.0,31.0,13.0,14692.0,240.0,3311.0,376.0,65.0,0.0,3673.0,367.3,1101.8999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/qemu-sh4eb,0.0,4017512.0,6.198182486508421,190656.0,1.0,1.0,31.0,9.0,2442680.0,76548.0,653648.0,80984.0,3.0,0.0,610670.0,61067.0,183201.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/openvt,0.0,68248.0,1.6625780314748229,10304.0,1.0,1.0,30.0,12.0,5464.0,368.0,1824.0,8.0,64.0,0.0,1366.0,136.6,409.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/pbmtoln03,0.0,67824.0,0.8420148648104171,4736.0,1.0,1.0,29.0,12.0,2016.0,16.0,283.0,8.0,29.0,0.0,504.0,50.400000000000006,151.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/x86_64-w64-mingw32ucrt-ld,0.0,2106000.0,6.254022013256978,242752.0,1.0,1.0,30.0,10.0,1213696.0,6488.0,310245.0,6840.0,183.0,0.0,303424.0,30342.4,91027.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/cluster,0.0,679720.0,6.019633048919541,112128.0,1.0,1.0,31.0,13.0,229756.0,153008.0,67370.0,1312.0,625.0,0.0,57439.0,5743.900000000001,17231.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/xdriinfo,0.0,67744.0,0.7952252086695666,4224.0,1.0,1.0,28.0,9.0,1704.0,16.0,906.0,24.0,23.0,0.0,426.0,42.6,127.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
